route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Ashmont,,1,10050,38899721-21:00-KL
Red-3-0,Red,0,Braintree,,1,10051,38899732-21:00-KL
Red-1-1,Red,1,Alewife,,1,11050,38899712-21:00-KL
Red-3-1,Red,1,Alewife,,1,11051,38899727-21:00-KL
Mattapan-_-0,Mattapan,0,Mattapan,,1,20000,38802677
Mattapan-_-1,Mattapan,1,Ashmont,,1,21000,38802607
Orange-3-0,Orange,0,Forest Hills,,1,30000,38940768
Orange-5-0,Orange,0,Forest Hills,Weekdays only,3,30099,38940801
Orange-3-1,Orange,1,Oak Grove,,1,31000,38940780
Green-B-3-0,Green-B,0,Boston College,,1,40000,38989250
Green-B-0-0,Green-B,0,Boston College,Weekend early mornings only,3,40099,38796306-F
Green-B-3-1,Green-B,1,Park Street,,1,41000,38989043
Green-B-0-1,Green-B,1,Lechmere,Weekend early mornings only,3,41099,38796305-F
Green-C-1-0,Green-C,0,Cleveland Circle,,1,50001,38989063
Green-C-0-0,Green-C,0,Cleveland Circle,Early mornings only,3,50098,38989061
Green-C-1-1,Green-C,1,North Station,,1,51001,38989055
Green-C-0-1,Green-C,1,Lechmere,Early mornings only,3,51098,38989051
Green-D-2-0,Green-D,0,Riverside,,1,60000,38990830
Green-D-4-0,Green-D,0,Reservoir,Weekdays only,3,60099,38989723
Green-D-0-0,Green-D,0,Riverside,Weekday early mornings only,3,60099,38992133
Green-D-2-1,Green-D,1,Government Center,,1,61000,38989035
Green-D-0-1,Green-D,1,Lechmere,Weekday early mornings only,3,61099,38992129
Green-D-4-1,Green-D,1,Lechmere,Weekdays only,3,61099,38989659
Green-D-5-1,Green-D,1,Government Center,Weekday early mornings only,3,61099,38989656
Green-E-0-0,Green-E,0,Heath Street,,1,70000,38989085
Green-E-2-0,Green-E,0,Heath Street,Weekday early mornings only,3,70099,38989403
Green-E-0-1,Green-E,1,Lechmere,,1,71000,38989405
Blue-6-0,Blue,0,Bowdoin,,1,80001,39027848
Blue-8-0,Blue,0,Bowdoin,,3,80098,39028055
Blue-6-1,Blue,1,Wonderland,,1,81000,39028056
741-_-0,741,0,Logan Airport,,1,90000,39230493
741-_-1,741,1,South Station,,1,91003,39230506
741-2-1,741,1,South Station,Early mornings and late nights only,3,91096,39367505
742-1-0,742,0,Drydock,,2,100072,39230621
742-_-0,742,0,Drydock,,2,100073,39230612
742-_-1,742,1,South Station,,1,101044,39230635
742-1-1,742,1,South Station,,2,101073,39230642
742-3-1,742,1,South Station,Evenings only,2,101081,39230655
743-_-0,743,0,Chelsea,,1,110000,39232290
743-_-1,743,1,South Station,,1,111003,39232288
743-1-1,743,1,South Station,Late nights only,3,111096,39232107
751-_-0,751,0,Dudley Station,,1,120001,39231292
751-1-0,751,0,Dudley Station,Early mornings only,3,120098,39367513
751-_-1,751,1,South Station,,1,121000,39231291
749-_-0,749,0,Dudley Station,,1,130000,39231034
749-_-1,749,1,Downtown,,1,131000,39231033
746-_-0,746,0,Silver Line Way,,1,140000,39230534
746-_-1,746,1,South Station,,1,141000,39232292
701-_-0,701,0,Central Square (Limited Stops),Weekdays only,1,810000,39424542
701-_-1,701,1,Boston Medical Center (Limited Stops),Weekdays only,1,811010,39424543
701-1-1,701,1,Boston Medical Center (Limited Stops),Weekday evenings only,2,811089,39424700
747-_-0,747,0,Sullivan via Kendall/MIT (Limited Stops),Weekdays only,1,820000,39424601
747-_-1,747,1,Ruggles via Kendall/MIT (Limited Stops),Weekdays only,1,821000,39424602
708-_-0,708,0,Beth Israel (Limited Stops),Weekdays only,2,830061,39424581
708-1-0,708,0,Beth Israel (Limited Stops),Weekdays only,2,830061,39424571
708-2-0,708,0,Boston Medical Center (Limited Stops),Weekday mornings only,2,830077,39425055
708-_-1,708,1,Andrew Station (Limited Stops),Weekdays only,1,831060,39424582
708-1-1,708,1,Andrew Station (Limited Stops),Weekdays only,1,831060,39424572
708-2-1,708,1,Andrew Station (Limited Stops),Weekdays only,2,831080,39425064
1-_-0,1,0,Harvard,,1,1000000,39366269
1-_-1,1,1,Dudley,,1,1001000,39366268
4-_-0,4,0,North Station via South Station,Weekday mornings only,1,4000047,39425342
4-1-0,4,0,North Station,Weekdays only,1,4000052,39425350
4-_-1,4,1,Tide St,Weekdays only,1,4001047,39425358
4-1-1,4,1,Tide St via South Station,Weekdays only,1,4001052,39425366
5-_-0,5,0,City Point,Middays only,1,5000000,39367151
5-_-1,5,1,McCormack,Middays only,1,5001000,39367021
7-1-0,7,0,City Point,,1,7000019,39367157
7-2-0,7,0,City Point via East First,Weekdays only,2,7000086,39367158
7-7-0,7,0,City Point via East First,Weekdays only,3,7000094,39366838
7-1-1,7,1,Otis & Summer,,1,7001024,39366941
7-2-1,7,1,Otis & Summer,Weekdays only,2,7001087,39367082
7-5-1,7,1,Congress & Atlantic,Weekdays only,2,7001088,39366960
8-9-0,8,0,UMass via South Bay Center,,1,8000037,39365315
8-1-0,8,0,UMass,,2,8000063,39365418
8-2-0,8,0,Dudley Station,School days only,3,8000099,39425290
8-D-0,8,0,Ruggles,School days only,3,8000099,39367510_2
8-9-1,8,1,Kenmore via South Bay Center,,1,8001039,39365403
8-1-1,8,1,Kenmore,,2,8001061,39365309
8-D-1,8,1,Kenmore,School days only,3,8001099,39367509_2
9-_-0,9,0,City Point,,1,9000008,39366867
9-1-0,9,0,City Point,Weekdays only,3,9000092,39366847
9-5-0,9,0,City Point via Andrew Station,School days only,3,9000099,39367150
9-_-1,9,1,Copley Square,,1,9001002,39366940
9-1-1,9,1,Copley Square,AM peak hours only,3,9001097,39366973
9-4-1,9,1,Kenmore Station via Boston Latin,School days only,3,9001099,39366953
