route_id,agency_id,route_short_name,route_long_name,route_desc,route_fare_class,route_type,route_url,route_color,route_text_color,route_sort_order,line_id,listed_route
Boat-F1,1,,Hingham/Hull Ferry,Ferry,Ferry,4,https://www.mbta.com/schedules/Boat-F1,008EAA,FFFFFF,1000002,,
Boat-F4,1,,Charlestown Ferry,Ferry,Ferry,4,https://www.mbta.com/schedules/Boat-F4,008EAA,FFFFFF,1000001,,
Red,1,,Red Line,Rapid Transit,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,FFFFFF,1,line-Red,
Mattapan,1,,Mattapan Trolley,Rapid Transit,Rapid Transit,0,https://www.mbta.com/schedules/Mattapan,DA291C,FFFFFF,2,line-Mattapan,
Orange,1,,Orange Line,Rapid Transit,Rapid Transit,1,https://www.mbta.com/schedules/Orange,ED8B00,FFFFFF,3,line-Orange,
Green-B,1,B,Green Line B,Rapid Transit,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,FFFFFF,4,line-Green,
Green-C,1,C,Green Line C,Rapid Transit,Rapid Transit,0,https://www.mbta.com/schedules/Green-C,00843D,FFFFFF,5,line-Green,
Green-D,1,D,Green Line D,Rapid Transit,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,FFFFFF,6,line-Green,
Green-E,1,E,Green Line E,Rapid Transit,Rapid Transit,0,https://www.mbta.com/schedules/Green-E,00843D,FFFFFF,7,line-Green,
Blue,1,,Blue Line,Rapid Transit,Rapid Transit,1,https://www.mbta.com/schedules/Blue,003DA5,FFFFFF,8,line-Blue,
741,1,SL1,Logan Airport - South Station,Key Bus,Rapid Transit,3,https://www.mbta.com/schedules/741,7C878E,FFFFFF,9,line-SLWaterfront,
742,1,SL2,Design Center - South Station,Key Bus,Rapid Transit,3,https://www.mbta.com/schedules/742,7C878E,FFFFFF,10,line-SLWaterfront,
743,1,SL3,Chelsea - South Station,Key Bus,Rapid Transit,3,https://www.mbta.com/schedules/743,7C878E,FFFFFF,11,line-SLWaterfront,
751,1,SL4,Dudley - South Station,Key Bus,Local Bus,3,https://www.mbta.com/schedules/751,7C878E,FFFFFF,12,line-SLWashington,
749,1,SL5,Dudley - Downtown Crossing,Key Bus,Local Bus,3,https://www.mbta.com/schedules/749,7C878E,FFFFFF,13,line-SLWashington,
746,1,,Silver Line Way - South Station,Key Bus,Rapid Transit,3,,7C878E,FFFFFF,14,line-SLWaterfront,1
701,1,CT1,"Central Square, Cambridge - Boston Medical Center",Local Bus,Local Bus,3,https://www.mbta.com/schedules/701,FFC72C,000000,81,line-1701,
747,1,CT2,Sullivan - Ruggles,Local Bus,Local Bus,3,https://www.mbta.com/schedules/747,FFC72C,000000,82,line-747,
708,1,CT3,Beth Israel Deaconess or Boston Medical Center - Andrew,Local Bus,Local Bus,3,https://www.mbta.com/schedules/708,FFC72C,000000,83,line-171708,
1,1,1,Harvard - Dudley via Massachusetts Avenue,Key Bus,Local Bus,3,https://www.mbta.com/schedules/1,FFC72C,000000,100,line-1701,
4,1,4,North Station - Tide Street,Commuter Bus,Local Bus,3,https://www.mbta.com/schedules/4,FFC72C,000000,400,line-4,
5,1,5,City Point - McCormack Housing,Community Bus,Local Bus,3,https://www.mbta.com/schedules/5,FFC72C,000000,500,line-510,
7,1,7,City Point - Downtown Boston,Local Bus,Local Bus,3,https://www.mbta.com/schedules/7,FFC72C,000000,700,line-7,
8,1,8,Harbor Point/UMass - Kenmore,Local Bus,Local Bus,3,https://www.mbta.com/schedules/8,FFC72C,000000,800,line-8,
9,1,9,City Point - Copley via Broadway Station,Local Bus,Local Bus,3,https://www.mbta.com/schedules/9,FFC72C,000000,900,line-9,
10,1,10,City Point - Copley via Boston Medical Center,Local Bus,Local Bus,3,https://www.mbta.com/schedules/10,FFC72C,000000,1000,line-510,
11,1,11,City Point - Downtown Boston,Local Bus,Local Bus,3,https://www.mbta.com/schedules/11,FFC72C,000000,1100,line-11,
14,1,14,Roslindale Square - Heath Street,Local Bus,Local Bus,3,https://www.mbta.com/schedules/14,FFC72C,000000,1400,line-14,
